video_stem,video_path,exercise_class,quality,split,action_name_raw,comment,action_guidance,judgement_key,frame_root,frame_start,frame_end,annotator
ThEnUZ_action_4__ann2,,sit-ups,4.000000,train,Sit-ups,"The movements were performed according to the instructional text. The speed and fluency of the movements were moderate. There were some minor shortcomings in the movements, as during the first attempt, the hands did not touch the feet when getting up, and also the slight opening of the legs was not achieved.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",ThEnUZ_action_4,frames_open/ThEnUZ,2611,3286,9ZMJLsCfMZ
ThEnUZ_action_4__ann3,,sit-ups,5.000000,train,Sit-ups,"The movements were not performed according to the instructional text, at a moderate speed, the fluidity is acceptable. The downside is that the legs are opened too wide and the hands did not touch the feet.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",ThEnUZ_action_4,frames_open/ThEnUZ,2611,3286,6nGisiWgNZ
ThEnUZ_action_4__ann4,,sit-ups,3.000000,train,Sit-ups,"The movement speed is appropriate, relatively smooth, and the force is applied in the correct areas, providing a strong stretching sensation. However, during the process of standing up, both arms are not fully extended. The performer of the exercise needs to pay attention to the stretching sensation in the arms towards the distance while standing up.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",ThEnUZ_action_4,frames_open/ThEnUZ,2611,3286,z6Y1t9EwL5
ThEnUZ_action_5__ann0,,kneeling side torso twist,4.000000,train,Kneeling Side Torso Twist,"The movements are executed following the instructional text, the speed is appropriate, and the movements are smooth.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,ThEnUZ_action_5,frames_open/ThEnUZ,3301,3886,cMbm9lThEn
ThEnUZ_action_5__ann1,,kneeling side torso twist,3.000000,train,Kneeling Side Torso Twist,"The movements generally follow the instructional text and are smooth. The shortcomings are that the speed of the movements is slightly slow, the degree of separation of the knees is insufficient, and the upward lift of the right hand is not enough. The areas for improvement are to increase the degree of separation of the knees and increase the lifting amplitude.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,ThEnUZ_action_5,frames_open/ThEnUZ,3301,3886,yuKpslm0lc
ThEnUZ_action_5__ann2,,kneeling side torso twist,5.000000,train,Kneeling Side Torso Twist,"The movement speed is appropriate, very smooth, the pause time is appropriate, the force is applied correctly, and there is a powerful stretching sensation.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,ThEnUZ_action_5,frames_open/ThEnUZ,3301,3886,z6Y1t9EwL5
ThEnUZ_action_6__ann0,,jumping jacks,4.000000,train,Jumping Jacks,"The movements were completed in accordance with the instructional text, with appropriate speed and smooth execution.","tighten your waist and abdomen, and tense your arms. lift your arms with shoulder strength, press your arms down with back strength, and use your arms to drive your body to jump. jump with your feet open and close, relax your calves as much as possible, and do not lower or raise your head.",ThEnUZ_action_6,frames_open/ThEnUZ,3901,4066,cMbm9lThEn
ThEnUZ_action_6__ann1,,jumping jacks,5.000000,train,Jumping Jacks,,"tighten your waist and abdomen, and tense your arms. lift your arms with shoulder strength, press your arms down with back strength, and use your arms to drive your body to jump. jump with your feet open and close, relax your calves as much as possible, and do not lower or raise your head.",ThEnUZ_action_6,frames_open/ThEnUZ,3901,4066,F03vpUuT3e
ThEnUZ_action_8__ann0,,kneeling pushing-ups,4.000000,train,Kneeling pushing-ups,"The movement was performed according to the instructional text, with a moderate speed, but the body could be lowered a bit more.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",ThEnUZ_action_8,frames_open/ThEnUZ,5881,6436,cMbm9lThEn
ThEnUZ_action_8__ann1,,kneeling pushing-ups,4.000000,train,Kneeling pushing-ups,"The movements follow the instructional text, with a moderate and smooth speed. One drawback is that the elbows are positioned lower than the torso when reaching the lowest point. An improvement can be made by increasing the depth of the downward movement, raising the elbows higher than the torso.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",ThEnUZ_action_8,frames_open/ThEnUZ,5881,6436,yuKpslm0lc
ThEnUZ_action_8__ann2,,kneeling pushing-ups,4.000000,train,Kneeling pushing-ups,"The movements were not completely in accordance with the instructional text, but the speed and fluidity were normal. The hands were not wider than shoulder-width, and the elbows did not go higher than the torso at the lowest point. Areas for improvement include increasing the distance between the hands, lowering a bit further, and prolonging the pause time at the lowest position.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",ThEnUZ_action_8,frames_open/ThEnUZ,5881,6436,2yW4Acq9GF
xYkvB0_action_0__ann0,,kneeling pushing-ups,2.000000,train,Kneeling pushing-ups,"The movement was not completed according to the instructional text, and the feet did not cross.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_0,frames_open/xYkvB0,31,571,cMbm9lThEn
xYkvB0_action_0__ann1,,kneeling pushing-ups,2.000000,train,Kneeling pushing-ups,"The movements were not completed according to the instructional text. The speed of the movements is slightly too fast, with moderate fluidity. The shortcomings of the movements are the failure to perform the crossing of the legs and not adhering to the key points of the movements.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_0,frames_open/xYkvB0,31,571,9ZMJLsCfMZ
xYkvB0_action_0__ann2,,kneeling pushing-ups,4.000000,train,Kneeling pushing-ups,"The execution of the movement is very good, relatively smooth, but the position of the hands can be improved. It hasn't achieved the perfect slightly wider than shoulder-width position. If the hands can be slightly narrower and further forward, it would be better.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_0,frames_open/xYkvB0,31,571,O67IMRebhO
xYkvB0_action_5__ann0,,kneeling pushing-ups,2.000000,train,Kneeling pushing-ups,"The movement was not completed according to the instructional text, the feet were not crossed, but the rest was done well.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_5,frames_open/xYkvB0,5896,6406,cMbm9lThEn
xYkvB0_action_5__ann1,,kneeling pushing-ups,3.000000,train,Kneeling pushing-ups,"The movements follow the instructional text and are smooth, and they are completed relatively well. One particularly good point is that when viewed from the side, the body forms a straight line. However, at the starting position, the feet are not kept crossed, and the hands should be open instead of clenched fists.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_5,frames_open/xYkvB0,5896,6406,mM1Khzfx1h
xYkvB0_action_5__ann2,,kneeling pushing-ups,5.000000,train,Kneeling pushing-ups,"The execution of the movements follows the instructional text, with a normal speed and smoothness. The fulfillment of the movement meets normal exercise requirements without any shortcomings.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_5,frames_open/xYkvB0,5896,6406,m6KopZ9jZI
xYkvB0_action_5__ann3,,kneeling pushing-ups,4.000000,train,Kneeling pushing-ups,"Completed according to the instructional text, the speed and smoothness are great, but the feet did not cross.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_5,frames_open/xYkvB0,5896,6406,6nGisiWgNZ
xYkvB0_action_5__ann4,,kneeling pushing-ups,1.000000,train,Kneeling pushing-ups,"The feet are not crossed, the palms are not open and placed on the mat, and the starting kneeling position is not returned to at the end of the movement.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",xYkvB0_action_5,frames_open/xYkvB0,5896,6406,z6Y1t9EwL5
xYkvB0_action_6__ann0,,kneeling side torso twist,3.000000,train,Kneeling Side Torso Twist,"The movements are completed according to the instructional text, but the execution speed is too fast. The right hand can go a bit lower to approach the ground.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_6,frames_open/xYkvB0,6421,6826,cMbm9lThEn
xYkvB0_action_6__ann1,,kneeling side torso twist,5.000000,train,Kneeling Side Torso Twist,"Following the instructional text, the speed and fluidity are both satisfactory.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_6,frames_open/xYkvB0,6421,6826,6nGisiWgNZ
xYkvB0_action_6__ann2,,kneeling side torso twist,5.000000,train,Kneeling Side Torso Twist,"The movements are very good, the speed is moderate, and very smooth.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_6,frames_open/xYkvB0,6421,6826,dgYj2Soc0K
xYkvB0_action_6__ann3,,kneeling side torso twist,4.000000,train,Kneeling Side Torso Twist,"Able to follow the instructional text requirements to perform and complete the movements, the sequence of movements is relatively smooth during repeated repetitions. It can be noticed that core strength is used to bring the body closer to the ground during the process of right elbow approaching the ground and returning to the original movement. It is noted that the right hand drags behind the ear slightly.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_6,frames_open/xYkvB0,6421,6826,UZd7RbIBNg
xYkvB0_action_7__ann0,,sit-ups,3.000000,train,Sit-ups,"The movement was not completely performed according to the instructional text, the feet were crossed, and the hands did not touch the feet.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",xYkvB0_action_7,frames_open/xYkvB0,6841,7546,cMbm9lThEn
xYkvB0_action_7__ann1,,sit-ups,2.000000,train,Sit-ups,"The movements were not completed according to the instructional text. The speed of the movements was slightly moderate, and the smoothness was moderate as well. One deficiency in the movements was the failure to perform the movement of bringing the feet together, the failure to perform the slight opening of the legs, and the failure to perform the movement of reaching forward to touch the feet, as well as not following the key points of the movements.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",xYkvB0_action_7,frames_open/xYkvB0,6841,7546,9ZMJLsCfMZ
xYkvB0_action_7__ann2,,sit-ups,3.000000,train,Sit-ups,"The completion of the movements is relatively powerful, the speed and fluency are relatively good, but the feet did not achieve a very good closure.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",xYkvB0_action_7,frames_open/xYkvB0,6841,7546,O67IMRebhO
xYkvB0_action_7__ann3,,sit-ups,3.000000,train,Sit-ups,"Able to follow the instructions of the guiding text to position and complete the movements, with relatively smooth execution in repeated movements. However, the timing of completing the movements is not controlled within two seconds, and the foot placement is crossed instead of being close together as required. You can try to standardize the foot placement position, and when leaving the ground, the hands do not fully touch the feet, which also needs improvement.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",xYkvB0_action_7,frames_open/xYkvB0,6841,7546,UZd7RbIBNg
xYkvB0_action_9__ann0,,high knee,3.000000,train,High Knee,"The movements are performed according to instructional text, but the speed of leg lifts could be increased slightly.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",xYkvB0_action_9,frames_open/xYkvB0,7831,8026,cMbm9lThEn
xYkvB0_action_9__ann1,,high knee,4.000000,train,High Knee,"The movement was executed very smoothly, but it feels like the knees of the legs were not facing forward, slightly opened instead. You can improve by paying attention to the direction of the legs while lifting them.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",xYkvB0_action_9,frames_open/xYkvB0,7831,8026,3HqdZ6J6af
xYkvB0_action_9__ann2,,high knee,4.000000,train,High Knee,"According to the instructional text, the speed and fluidity are very good, but the swinging arm strength is not enough.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",xYkvB0_action_9,frames_open/xYkvB0,7831,8026,6nGisiWgNZ
xYkvB0_action_10__ann0,,kneeling side torso twist,2.000000,train,Kneeling Side Torso Twist,"The movement is carried out according to the instructional text; the right elbow can be closer to the ground, and there should be a brief pause when approaching the ground.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_10,frames_open/xYkvB0,12511,13066,cMbm9lThEn
xYkvB0_action_10__ann1,,kneeling side torso twist,4.000000,train,Kneeling Side Torso Twist,"Standard movement, smooth movement, fast speed, there should be a brief pause when approaching the ground.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_10,frames_open/xYkvB0,12511,13066,z6Y1t9EwL5
xYkvB0_action_10__ann2,,kneeling side torso twist,5.000000,train,Kneeling Side Torso Twist,"The movement is excellent, overall very smooth and standard.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_10,frames_open/xYkvB0,12511,13066,dgYj2Soc0K
xYkvB0_action_10__ann3,,kneeling side torso twist,4.000000,train,Kneeling Side Torso Twist,"Able to follow the instructional text to arrange and complete the movements as required, and performed the movements in a relatively smooth sequence during repeated repetitions. However, it feels like there is a lack of engagement from the core muscle group and insufficient stability maintained.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,xYkvB0_action_10,frames_open/xYkvB0,12511,13066,UZd7RbIBNg
xYkvB0_action_12__ann0,,side knee raise and abdominal muscles contract,2.000000,train,Side Knee Raise And Abdominal Muscles Contract,"The movement was not completed according to the instructional text, the elbows did not touch the left knee, the movement was too fast, and there was no brief pause at the contracted position.","keep your weight on your right foot and put your right hand on your hip; put your left tiptoes on the ground, lift your left shoulder and stretch your left arm above your head, feeling the stretch in your left abdominal muscle. lift the left knee while pressing the left shoulder down and touching the left knee with the left elbow; then restore to the initial state after a pause.",xYkvB0_action_12,frames_open/xYkvB0,13441,13786,cMbm9lThEn
xYkvB0_action_12__ann1,,side knee raise and abdominal muscles contract,3.000000,train,Side Knee Raise And Abdominal Muscles Contract,The movement did not follow the instructional text as it executed a right side stretch instead of the left side as guided in the text.,"keep your weight on your right foot and put your right hand on your hip; put your left tiptoes on the ground, lift your left shoulder and stretch your left arm above your head, feeling the stretch in your left abdominal muscle. lift the left knee while pressing the left shoulder down and touching the left knee with the left elbow; then restore to the initial state after a pause.",xYkvB0_action_12,frames_open/xYkvB0,13441,13786,j7c1f5S71I
3HqdZ6_action_1__ann0,,sit-ups,5.000000,train,Sit-ups,"The movements are performed according to the instructional text, at an appropriate speed, and with correct form.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",3HqdZ6_action_1,frames_open/3HqdZ6,601,1381,cMbm9lThEn
3HqdZ6_action_1__ann1,,sit-ups,3.000000,train,Sit-ups,"The details of the movements did not follow the instructional text; instead of keeping the feet together, they were crossed, and when getting up, the hands were not placed on the feet.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",3HqdZ6_action_1,frames_open/3HqdZ6,601,1381,j7c1f5S71I
3HqdZ6_action_5__ann0,,high knee,2.000000,train,High Knee,"The movement was not executed in accordance with the instructional text, the range of motion was insufficient, and the speed was too slow.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",3HqdZ6_action_5,frames_open/3HqdZ6,2641,2971,cMbm9lThEn
3HqdZ6_action_5__ann1,,high knee,3.000000,train,High Knee,The movement did not fully follow the instructional text. The pace of the movement was slow and the leg lift amplitude was small.,"straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",3HqdZ6_action_5,frames_open/3HqdZ6,2641,2971,m6KopZ9jZI
3HqdZ6_action_5__ann2,,high knee,3.000000,train,High Knee,"The movements were not done at the fastest speed, and there was an obvious lack of strength in the legs and arms.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",3HqdZ6_action_5,frames_open/3HqdZ6,2641,2971,6nGisiWgNZ
3HqdZ6_action_5__ann3,,high knee,3.000000,train,High Knee,"The movements are generally completed according to the instructional text, but during exercise, the speed could be faster, and the range of motion for the arms and legs could be larger.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",3HqdZ6_action_5,frames_open/3HqdZ6,2641,2971,O67IMRebhO
3HqdZ6_action_7__ann0,,kneeling side torso twist,3.000000,train,Kneeling Side Torso Twist,"The movement was not performed according to the instructional text, the legs should be slightly apart.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,3HqdZ6_action_7,frames_open/3HqdZ6,5446,6016,cMbm9lThEn
3HqdZ6_action_7__ann1,,kneeling side torso twist,4.000000,train,Kneeling Side Torso Twist,"The basic movements are completed according to the instructions, the speed is normal, and the movements are smooth. The distance between the knees is not enough. An improvement would be to increase the distance between the knees.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,3HqdZ6_action_7,frames_open/3HqdZ6,5446,6016,2yW4Acq9GF
3HqdZ6_action_7__ann2,,kneeling side torso twist,4.000000,train,Kneeling Side Torso Twist,"The movement generally follows the guiding text, but when the right elbow is close to the ground, there is still some distance from the ground, and it leans towards the direction of the left elbow.",lie prone on a yoga mat with your knees on the ground and slightly apart; put your left hand on the ground and bend your right elbow to hold your ear. contract your abdominal muscles and use your right elbow to get closer to the ground; pause briefly and return to the starting position.,3HqdZ6_action_7,frames_open/3HqdZ6,5446,6016,NQqEefRWi4
xYkvB0_action_1__ann0,,sit-ups,4.000000,train,Sit-ups,"The sequence and most of the details of the movements are consistent with the text description, and the speed and fluency are moderate, but there are some minor issues such as crossing of the feet instead of side-by-side alignment.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",xYkvB0_action_1,frames_open/xYkvB0,586,1186,3HqdZ6J6af
xYkvB0_action_1__ann1,,sit-ups,2.000000,train,Sit-ups,"The movements are smooth, but the speed is too fast. When standing up, the arms are not kept straight, and the feet are not brought together as required in the exercise.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",xYkvB0_action_1,frames_open/xYkvB0,586,1186,z6Y1t9EwL5
